NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-09;2021-08-15;No;283.634;0.812212;349.2115;145.4121;11252;2073.8810;97259;63218;8.9121;975;227;139;4112;7140;4634;7147;76400;55791;188845;128569
CATALUNYA;GLOBAL;2021-08-08;2021-08-14;--;;;0.0000;0.0000;589;0.0000;10067;50;2.9193;114;33;2;304;285;278;13;9923;45;2311;956
CATALUNYA;GLOBAL;2021-08-08;2021-08-14;Si;;;818.8083;299.0430;210;23191.5014;14323;1963;2.1689;81;0;67;142;68;156;68;8991;1337;154;184
CATALUNYA;GLOBAL;2021-08-08;2021-08-14;No;287.838;0.80957;355.5438;147.9838;11451;2084.4134;97905;63387;9.0117;990;221;136;4196;7255;4730;7244;76938;55933;194230;131884
CATALUNYA;GLOBAL;2021-08-07;2021-08-13;No;296.023;0.809437;365.7144;151.6024;11731;2109.6913;99074;64174;9.1134;1010;216;145;4273;7458;4844;7429;77957;56713;192332;125928
CATALUNYA;GLOBAL;2021-08-07;2021-08-13;--;;;0.0000;0.0000;609;0.0000;10479;48;2.9859;129;37;1;323;286;298;12;10339;43;2225;957
CATALUNYA;GLOBAL;2021-08-07;2021-08-13;Si;;;844.4406;310.4351;218;23242.7660;14411;1911;2.1863;74;0;65;148;70;158;69;9090;1293;159;182
CATALUNYA;GLOBAL;2021-08-06;2021-08-12;--;;;0.0000;0.0000;653;0.0000;10699;58;3.3525;153;123;1;368;285;340;16;10567;52;2000;888
CATALUNYA;GLOBAL;2021-08-06;2021-08-12;Si;;;929.8815;393.0280;276;24917.4071;15398;2100;2.6686;73;0;66;204;72;225;71;9682;1410;158;150
CATALUNYA;GLOBAL;2021-08-06;2021-08-12;No;314.028;0.805927;389.6482;160.5711;12425;2171.2188;101789;66220;9.3633;1040;215;148;4564;7861;5110;7877;80172;58529;192454;120967
CATALUNYA;GLOBAL;2021-08-05;2021-08-11;No;330.013;0.799237;412.9100;169.5656;13121;2201.2394;102398;67934;9.7527;1081;229;148;4813;8308;5373;8361;80682;60140;206599;107165
CATALUNYA;GLOBAL;2021-08-05;2021-08-11;--;;;0.0000;0.0000;691;0.0000;10698;57;3.5640;182;122;1;392;299;365;13;10554;52;1725;755
